Tiempo (mseg)	Length 	Destinos
20000048	28	22275165170
20000195	48	60223249107
20000224	28	60223249107
20000224	42	12312254215
20000224	42	1526624877
20000224	42	1942916944
20000224	42	5977255216
20000224	42	81182191212
20000224	42	2223940182
20000224	42	1169236154
20000224	42	221208246160
20000224	42	222134170126
20000224	42	22213818229
20000224	42	2211055233
20000224	42	58213116132
20000224	42	6113883144
20000244	28	60223249107
20000273	28	22121477134
20000312	28	60223249107
20000664	28	60223249107
20000771	314	1169236154
20000771	28	193205213189
20000830	28	1942916944
20000957	42	58213116132
20000957	28	9821624192
20001210	28	8412304
20001337	28	22121477134
20001445	28	193205213188
20002265	48	22121477134
20002265	42	12312254215
20002265	42	1526624877
20002265	42	1942916944
20002265	42	1942916946
20002265	42	12313156133
20002265	42	6021619742
20002265	42	1221401832
20002265	42	2223940182
20002265	42	22213818229
20002265	42	796437181
20002265	42	123188228233
20002265	42	2211055233
20002265	42	58213116132
20002265	42	12490251140
20002558	28	22121477134
20002636	28	22121477134
20002685	28	22121477134
20002685	42	193205213189
20002685	42	22123824103
20002753	48	22121477134
20002783	28	22121477134
20002812	28	22121477134
20002861	28	8412304
20002910	28	22121477134
20002939	28	22121477134
20002988	28	22121477134
20003017	28	22121477134
20003046	48	22121477134
20003085	28	22121477134
20003173	28	22121477134
20003398	42	12312254215
20003828	28	22123824103
20004208	28	22123824103
20004248	28	193205213189
20004550	28	2221380226
20004589	48	60223249107
20004912	28	22213818229
20005058	28	60223249107
20005078	28	60223249107
20005107	28	6021619742
20005107	28	60223249107
20005283	28	22275165170
20005625	28	123188228233
20005703	28	60223249107
20005820	28	60223249107
20005849	28	60223249107
20005888	28	601318386
20005917	28	1221401832
20005917	28	601318386
20006367	28	8223122266
20006572	28	6113883144
20006572	902	2223940182
20006894	28	12313156133
20007031	28	221208246160
20007167	28	222134170126
20007294	28	6113883144
20007568	28	12312254215
20007783	42	2211055233
20007949	28	22121477134
20007978	28	22121477134
20008134	28	5977255216
20008242	902	193205213188
20008486	46	22121477134
20008486	46	60223249107
20008925	28	22121477134
20009033	42	22213818229
20009404	28	60223249107
20009433	28	60223249107
20009462	28	60223249107
20009609	28	22121477134
20009628	28	22121477134
20009658	48	22121477134
20009658	42	12312254215
20009658	42	1526624877
20009658	42	1942916944
20009658	42	5977255216
20009658	42	1942916946
20009658	42	12313156133
20009658	42	2221380226
20009658	42	9821624192
20009658	42	2223940182
20009658	42	1169236154
20009658	42	221208246160
20009658	42	222134170126
20009658	42	22213818229
20009658	42	2211055233
20009658	42	58213116132
20009658	42	6113883144
20009707	48	22121477134
20009853	28	22121477134
20009882	28	60223249107
20009882	28	12490251140
20009912	28	60223249107
20009941	28	22121477134
20009960	46	22121477134
20009980	28	22121477134
20010009	28	60223249107
20010039	28	22121477134
20010058	28	22121477134
20010087	48	22121477134
20010126	28	22121477134
20010156	28	22121477134
20010185	28	22121477134
20010205	28	22121477134
20010234	28	22121477134
20010234	28	2221380226
20010263	28	22121477134
20010527	28	60223249107
20010644	28	60223249107
20010673	28	60223249107
20010703	28	6021619742
20010703	28	60223249107
20010917	42	58213116132
20010917	42	22213818229
20011250	42	58213116132
20011337	28	6022222969
20011757	28	796437181
20011757	48	601318386
20011816	28	601318386
20011894	28	601318386
20012636	28	123188228233
20012949	28	12312254215
20012949	42	81182191212
20012949	42	6021619742
20012949	42	1221401832
20012949	42	796437181
20012949	42	123188228233
20012949	42	12490251140
20013916	42	58213116132
20014042	28	8412304
20014199	28	60223249107
20014248	28	60223249107
20014277	48	60223249107
20014277	42	12312254215
20014277	42	1526624877
20014277	42	1942916946
20014277	42	12313156133
20014277	42	2223940182
20014277	42	22213818229
20014277	42	2211055233
20014277	42	58213116132
20014375	28	193205213188
20014482	42	12313156133
20014560	28	22121477134
20014589	28	22121477134
20015205	28	1221401832
20015224	28	222134170126
20015380	28	8412304
20015429	28	60223249107
20015488	28	60223249107
20015527	28	22121477134
20015625	28	60223249107
20015644	28	60223249107
20016015	28	60223249107
20016044	28	60223249107
20016240	28	22121477134
20016269	28	1221401832
20016269	28	22121477134
20016328	48	22121477134
20016328	42	12312254215
20016328	42	1526624877
20016357	42	1942916944
20016357	42	5977255216
20016357	42	1942916946
20016357	42	12313156133
20016357	42	22275165170
20016357	42	81182191212
