Tiempo (mseg)	Length  Destinos
20000048	126	61144209107
20000058	83	61144209107
20000058	85	2181721757
20000058	85	2181721757
20000058	84	1219231214
20000166	252	61144209107
20000283	378	61144209107
20004482	60	2181722849
20004482	62	2181722849
20004843	63	202105117161
20005283	189	202105117161
20006142	63	202105117161
20006220	63	202105117161
20006376	63	202105117161
20006738	63	202105117161
20006923	126	202105117161
20007041	63	202105117161
20007226	126	202105117161
20007314	63	202105117161
20007470	63	202105117161
20008164	61	61144209107
20008564	122	61144209107
20008769	61	61144209107
20008896	122	61144209107
20009042	366	61144209107
20009677	61	61144209107
20011845	63	61144209107
20012158	61	61144209107
20012480	61	61144209107
20012861	122	61144209107
20013154	183	61144209107
20013261	244	61144209107
20013515	62	2181721757
20013515	62	2181721757
20013554	122	61144209107
20016025	62	1231121779
20016044	61	61144209107
20016113	57	125220135238
20016757	61	61144209107
20020068	133	2181722849
20020068	131	61144209107
20020068	133	61144209107
20020068	133	2181721757
20020068	133	2181721757
20020068	135	1231121779
20020078	135	202105117161
20020078	132	1219231214
20020078	132	2181722849
20020078	130	1301929144
20020078	130	193205213188
20020078	130	22260122196
20020078	128	12593230132
20020078	130	125220135238
20020078	130	202105117161
20020605	84	1219231214
20023300	62	2181721757
20023300	62	2181721757
20025283	57	1301929144
20025498	57	193205213188
20026064	57	22260122196
20027763	61	61144209107
20027783	61	61144209107
20027949	244	61144209107
20027988	85	61144209107
20028261	122	61144209107
20028857	61	61144209107
20028876	61	61144209107
20029365	366	61144209107
20030048	122	61144209107
20030048	85	2181721757
20030048	85	2181721757
20033212	62	1219231214
20033583	55	61144253211
20033583	104	61144253211
20035019	252	202105117161
20035126	63	202105117161
20035332	126	202105117161
20035429	62	1219231214
20037001	57	202105117161
20037246	60	61144209107
20040048	132	1219231214
20040048	84	1219231214
20040048	82	202105117161
20043925	62	2181721757
20044882	57	202105117161
20046855	60	61144209107
20050039	85	2181721757
20054853	60	2181722849
20054863	62	2181722849
20055136	57	202105117161
20055224	55	12593230132
20056777	55	1526624842
20056777	76	1526624842
20064023	62	2181721757
20064023	62	2181721757
20064853	57	202105117161
20065439	60	61144209107
20066044	57	125220135238
20066455	62	1231121779
20068144	62	61144209107
20070048	132	2181722849
20070048	130	61144209107
20070048	132	61144209107
20070048	132	2181721757
20070058	154	2181721757
20070058	134	1231121779
20070058	134	202105117161
20070058	131	1219231214
20070058	131	2181722849
20070058	129	1301929144
20070058	129	193205213188
20070058	129	22260122196
20070058	127	12593230132
20070058	129	125220135238
20070058	129	202105117161
20073408	62	2181721757
20073408	62	2181721757
20074042	57	202105117161
20074042	62	202105117161
20074189	104	61144253211
20074863	57	202105117161
20074873	62	202105117161
20075546	57	1301929144
20075771	57	193205213188
20076132	63	202105117161
20076230	63	202105117161
20076376	63	202105117161
20076376	62	1219231214
20077470	126	202105117161
20080039	1084	202105117161
20080039	1084	202105117161
20080039	1084	202105117161
20080039	1084	202105117161
20080048	1084	202105117161
20080048	1084	202105117161
20080048	1084	202105117161
20080048	1084	202105117161
20080048	85	2181721757
20080126	1084	202105117161
20080126	1084	202105117161
20080126	1084	202105117161
20080126	1084	202105117161
20080126	1084	202105117161
20080126	1084	202105117161
20080136	1084	202105117161
20080136	1084	202105117161
20080761	1084	202105117161
20080761	1084	202105117161
20080761	1084	202105117161
20080761	1084	202105117161
20080771	1084	202105117161
20080771	1084	202105117161
20080771	1084	202105117161
20080771	1084	202105117161
20081035	117	61144253211
20081386	1084	202105117161
20081386	1084	202105117161
20081386	1084	202105117161
20081386	1084	202105117161
20081386	1084	202105117161
20081386	1084	202105117161
20081386	1084	202105117161
20081396	1084	202105117161
20081855	56	61144253211
20083525	62	1219231214
20084589	1084	202105117161
20084912	55	12593230132
20085371	1084	202105117161
20085410	1084	202105117161
20085761	1084	202105117161
20086162	1084	202105117161
20086953	1084	202105117161
20087480	1084	202105117161
20087851	1084	202105117161
20088271	1084	202105117161
20088691	1084	202105117161
20089921	1084	202105117161
20089921	1084	202105117161
20090058	92	21115522414
20090058	84	1219231214
20090312	1084	202105117161
20090625	130	61144209107
20092412	1084	202105117161
20093105	250	202105117161
20093593	62	2181721757
20093759	57	22260122196
20096582	88	61144253211
20097158	60	61144209107
20097158	57	61144253211
20097548	60	61144209107
20100019	85	2181721757
20100019	87	202105117161
20100019	1084	202105117161
20100019	1084	202105117161
20101230	1084	202105117161
20101230	1084	202105117161
20101230	1084	202105117161
20101230	1084	202105117161
20102236	1084	202105117161
20102236	1084	202105117161
20104042	60	2181722849
20104042	62	2181722849
20104248	62	2181721757
20105917	1084	202105117161
20107031	54	21115522414
20109199	1084	202105117161
20110048	83	61144209107
20110048	85	2181721757
20110048	87	202105117161
20110048	84	2181722849
20110048	1084	202105117161
20115380	62	1219231214
20116611	57	125220135238
20116708	62	1231121779
20116855	88	61144253211
20120048	133	2181722849
20120058	153	61144209107
20120058	133	61144209107
20120058	133	2181721757
20120058	133	2181721757
20120058	135	1231121779
20120058	135	202105117161
20120058	154	1219231214
20120058	132	2181722849
20120058	130	1301929144
20120068	130	193205213188
20120068	130	22260122196
20120068	128	12593230132
20120068	130	125220135238
20120068	130	202105117161
20121455	77	61144253211
20122314	57	61144253211
20123310	62	2181721757
20123310	62	2181721757
20123906	62	2181721757
20123906	62	2181721757
20124951	63	2181722849
20124970	63	2181722849
20125126	315	2181722849
20125175	57	202105117161
20125175	62	202105117161
20125195	57	193205213188
20125292	252	2181722849
20125458	315	2181722849
20125605	57	22260122196
20125781	189	2181722849
20125927	57	1301929144
20126416	315	2181722849
20126533	315	2181722849
20126699	126	2181722849
20126982	63	2181722849
20128896	1084	202105117161
20130029	85	2181721757
20130029	85	2181721757
20130029	87	202105117161
20130029	82	1301929144
20131611	63	2181722849
20131894	126	2181722849
20132158	252	2181722849
20132363	252	2181722849
20132646	189	2181722849
20133759	62	1219231214
20137626	1084	202105117161
20138720	57	1301929144
20140761	57	61144253211
20140908	133	61144209107
20140908	154	1219231214
20143652	62	2181721757
20143652	62	2181721757
20144189	62	61144209107
20146718	63	2181722849
20150029	85	2181721757
20150029	85	2181721757
20152197	63	2181722849
20153242	63	2181722849
20153261	63	2181722849
20154042	63	2181722849
20154375	60	2181722849
20154375	62	2181722849
20155009	62	202105117161
20155136	128	12593230132
20155693	62	1219231214
20160078	87	202105117161
20160078	84	1219231214
20160078	84	2181722849
20163408	62	2181721757
20163408	62	2181721757
20165166	62	202105117161
20166718	57	125220135238
20166923	62	1231121779
20170048	132	2181722849
20170048	130	61144209107
20170048	132	61144209107
20170058	132	2181721757
20170058	132	2181721757
20170058	134	1231121779
20170058	156	202105117161
20170058	131	1219231214
20170058	131	2181722849
20170058	129	1301929144
20170058	129	193205213188
20170058	129	22260122196
20170058	127	12593230132
20170058	129	125220135238
20170068	129	202105117161
20170068	128	61144253211
20173466	62	2181721757
20173466	62	2181721757
20175107	57	1301929144
20175351	57	193205213188
20175410	62	1219231214
20175888	57	22260122196
20177734	60	61144209107
20180039	85	2181721757
20180039	85	2181721757
20180039	84	1219231214
20180039	82	1301929144
20185312	62	202105117161
20185332	62	1219231214
20185937	62	61144209107
20187753	57	1301929144
20190048	130	61144209107
20190048	129	125220135238
20191035	57	61144253211
20194169	62	2181721757
20194169	62	2181721757
20195849	60	61144209107
20200048	85	2181721757
20200048	85	2181721757
20204355	128	12593230132
20204580	62	1219231214
20204687	60	2181722849
20204687	62	2181722849
20205087	57	202105117161
20205449	127	12593230132
20205703	57	202105117161
20213925	62	2181721757
20213925	62	2181721757
20216728	57	125220135238
20216728	62	1231121779
20218574	130	61144209107
20220097	132	2181722849
20220097	152	61144209107
20220097	132	61144209107
20220097	132	2181721757
20220097	154	2181721757
20220097	134	1231121779
20220097	134	202105117161
20220107	153	1219231214
20220107	153	2181722849
20220107	129	1301929144
