0	1	2	3	4	5	
0	1	0	0	1	0	
200	4	2	2	4	1	
400	2	0	2	1	1	
600	3	2	1	3	2	
800	2	2	1	1	0	
1000	0	1	0	2	1	
1200	3	1	2	1	1	
1400	1	3	2	0	3	
1600	3	3	5	2	3	
1800	1	1	3	2	2	
2000	1	0	0	0	4	
2200	1	5	2	1	4	
2400	4	0	2	0	3	
2600	0	2	3	1	1	
2800	0	0	1	1	0	
3000	1	1	1	6	2	
3200	2	0	1	3	1	
3400	3	1	1	5	1	
3600	2	3	0	1	3	
3800	5	4	4	3	7	
4000	2	5	2	3	0	
4200	0	3	2	2	6	
4400	0	4	3	3	3	
4600	5	7	7	6	3	
4800	5	1	4	5	2	
5000	5	5	8	5	3	
5200	5	8	7	5	3	
5400	5	15	7	11	10	
5600	18	20	15	20	11	
5800	19	19	18	21	14	
6000	27	29	24	25	31	
6200	35	31	29	25	32	
6400	37	29	26	38	20	
6600	26	30	24	34	34	
6800	39	27	34	34	28	
7000	20	8	21	21	20	
7200	9	18	14	9	15	
7400	4	5	2	7	8	
7600	5	1	4	6	3	
7800	0	3	1	2	3	
8000	0	2	1	2	2	
8200	0	1	1	2	5	
8400	2	3	0	2	1	
8600	3	2	3	0	0	
8800	2	3	3	1	1	
9000	2	2	5	3	5	
9200	3	2	1	3	7	
9400	5	4	2	2	1	
9600	3	3	3	0	1	
9800	2	0	4	3	2	
10000	2	3	4	3	6	
10200	4	6	5	3	1	
10400	5	5	6	4	6	
10600	5	3	2	3	6	
10800	7	5	0	5	6	
11000	5	3	3	3	5	
11200	2	2	3	4	7	
11400	2	3	4	3	2	
11600	2	4	5	4	6	
11800	5	6	4	3	2	
12000	5	8	5	4	6	
12200	5	4	3	4	3	
12400	7	4	2	2	7	
12600	0	4	10	5	2	
12800	7	2	4	2	4	
13000	6	6	3	3	5	
13200	5	4	6	4	6	
13400	5	4	9	2	3	
13600	5	1	5	7	10	
13800	4	6	6	4	6	
14000	5	5	4	5	7	
14200	3	3	3	4	4	
14400	8	6	4	7	3	
14600	1	6	8	8	1	
14800	4	3	3	11	3	
15000	7	5	4	2	4	
15200	8	3	5	5	11	
15400	4	5	8	5	6	
15600	10	3	10	4	2	
15800	5	5	8	3	7	
16000	8	5	11	13	6	
16200	8	6	7	5	2	
16400	13	11	8	10	5	
16600	9	3	4	7	2	
16800	9	10	6	8	10	
17000	9	6	10	5	8	
17200	6	6	6	5	11	
17400	6	9	3	5	12	
17600	6	7	5	11	9	
17800	8	4	8	9	7	
18000	8	12	10	12	15	
18200	8	6	3	9	4	
18400	9	18	3	8	9	
18600	10	4	8	6	9	
18800	14	11	9	16	5	
19000	9	8	12	9	11	
19200	11	14	9	13	5	
19400	8	7	10	10	11	
19600	13	7	9	15	7	
19800	8	15	5	8	14	
20000	11	15	16	15	15	
20200	9	12	16	12	7	
20400	13	11	12	7	11	
20600	10	8	9	16	17	
20800	10	11	8	16	11	
21000	11	9	16	9	14	
21200	11	10	8	9	8	
21400	11	13	11	9	10	
21600	19	9	18	8	11	
21800	13	18	14	9	6	
22000	15	12	9	13	16	
22200	14	8	22	15	13	
22400	9	14	11	10	16	
22600	17	14	13	14	23	
22800	20	25	10	13	14	
23000	19	5	17	11	20	
23200	15	17	20	14	28	
23400	13	19	13	16	14	
23600	15	14	16	12	11	
23800	15	13	27	15	15	
24000	18	18	15	17	14	
24200	16	15	17	23	18	
24400	33	14	20	22	17	
24600	17	10	13	15	18	
24800	18	19	19	20	22	
25000	17	20	27	9	20	
25200	17	14	21	23	25	
25400	17	15	14	12	32	
25600	19	19	21	29	24	
25800	22	26	21	33	19	
26000	26	31	26	15	19	
26200	18	22	23	23	19	
26400	26	21	19	25	19	
26600	29	24	15	19	18	
26800	19	22	20	24	18	
27000	27	28	22	30	28	
27200	22	27	18	16	30	
27400	22	32	29	24	23	
27600	23	18	23	20	23	
27800	29	33	16	31	24	
28000	25	21	14	24	26	
28200	29	22	19	20	25	
28400	35	37	23	30	30	
28600	21	20	26	21	36	
28800	21	24	29	45	21	
29000	28	29	27	22	25	
29200	31	32	33	25	33	
29400	31	35	19	32	33	
29600	36	21	33	34	32	
29800	33	24	39	32	28	
30000	31	42	26	42	33	
30200	21	30	35	46	31	
30400	30	38	25	23	26	
30600	27	34	40	51	40	
30800	36	25	41	32	35	
31000	34	31	34	35	33	
31200	30	55	26	30	31	
31400	34	37	32	41	45	
31600	36	28	31	29	29	
31800	35	46	42	37	35	
32000	35	43	46	45	32	
32200	37	22	40	38	33	
32400	39	38	40	51	31	
32600	39	31	35	33	44	
32800	46	42	28	38	37	
33000	33	42	49	43	38	
33200	45	49	52	40	34	
33400	44	40	32	38	40	
33600	46	40	40	41	44	
33800	45	49	49	48	42	
34000	47	42	37	33	46	
34200	39	46	58	53	42	
34400	41	43	39	40	32	
34600	54	49	37	45	37	
34800	38	47	40	47	45	
35000	61	50	37	38	58	
35200	42	43	54	45	49	
35400	43	48	42	49	43	
35600	36	41	38	46	46	
35800	40	50	40	37	38	
36000	42	48	53	47	63	
36200	48	55	48	52	40	
36400	41	51	58	50	57	
36600	63	43	49	50	60	
36800	43	48	46	34	58	
37000	42	49	66	55	51	
37200	54	53	48	37	44	
37400	49	53	47	48	42	
37600	63	45	39	35	47	
37800	35	48	53	41	53	
38000	46	52	36	39	50	
38200	47	50	54	57	45	
38400	52	39	46	42	44	
38600	62	56	50	38	53	
38800	49	42	56	47	70	
39000	38	56	55	48	45	
39200	57	63	50	42	61	
39400	41	41	56	35	52	
39600	41	41	36	48	40	
39800	38	43	44	58	46	
40000	49	53	48	37	37	
40200	41	43	50	48	52	
40400	44	42	48	47	40	
40600	42	41	37	38	42	
40800	43	44	43	39	32	
41000	40	44	34	43	47	
41200	45	47	40	43	39	
41400	45	40	42	40	26	
41600	41	29	40	40	28	
41800	44	44	30	38	26	
42000	38	42	35	38	44	
42200	30	31	46	39	28	
