0	1	2	3	4	5	
1	0	0	0	0	0	
2	0	0	0	0	0	
3	0	0	0	0	0	
4	0	0	0	0	0	
5	0	0	0	0	0	
6	0	0	0	0	0	
7	0	0	0	0	0	
8	0	0	0	0	0	
9	0	0	0	0	0	
10	0	0	0	0	0	
11	0	0	0	0	0	
12	0	0	0	0	0	
13	0	0	0	0	0	
14	0	0	0	0	0	
15	0	0	0	0	0	
16	0	0	0	0	0	
17	0	0	0	0	0	
18	0	0	0	0	0	
19	0	0	0	0	0	
20	0	0	0	0	0	
21	0	0	0	0	0	
22	0	0	0	0	0	
23	0	0	0	0	0	
24	0	0	0	0	0	
25	0	0	0	0	0	
26	0	0	0	0	0	
27	0	0	0	0	0	
28	0	0	0	0	0	
29	0	0	0	0	0	
30	0	0	0	0	0	
31	0	0	0	0	0	
32	0	0	0	0	0	
33	0	0	0	0	0	
34	0	0	0	0	0	
35	0	0	0	0	0	
36	0	0	0	0	0	
37	0	0	0	0	0	
38	0	0	0	0	0	
39	0	0	0	0	0	
40	0	0	0	0	0	
41	0	0	0	0	0	
42	0	0	0	0	0	
43	0	0	0	0	0	
44	0	0	0	0	0	
45	0	0	0	0	0	
46	0	0	0	0	0	
47	0	0	0	0	0	
48	0	0	0	0	0	
49	0	0	0	0	0	
50	318	320	296	300	293	
51	309	299	320	282	329	
52	302	287	319	306	320	
53	330	331	305	329	300	
54	308	327	268	324	331	
55	327	328	328	319	314	
56	330	285	334	311	294	
57	305	336	322	323	301	
58	300	289	298	294	301	
59	296	312	301	328	303	
60	269	289	313	336	317	
61	302	317	322	336	304	
62	323	332	342	333	331	
63	333	314	314	299	342	
64	323	312	314	286	309	
65	324	321	303	293	310	
