0	1	2	3	4	5	
0	0	0	0	0	0	
200	0	0	0	0	0	
400	0	0	0	0	0	
600	0	0	0	0	0	
800	0	0	0	0	0	
1000	0	0	0	0	0	
1200	0	0	0	0	0	
1400	0	0	0	0	0	
1600	0	0	0	0	0	
1800	0	0	0	0	0	
2000	0	0	0	0	0	
2200	0	0	0	0	0	
2400	0	0	0	0	0	
2600	0	0	0	0	0	
2800	0	0	0	0	0	
3000	0	0	0	0	0	
3200	0	0	0	0	0	
3400	0	0	0	0	0	
3600	0	0	0	0	0	
3800	0	0	0	0	0	
4000	0	0	0	0	0	
4200	0	0	0	0	0	
4400	0	0	0	0	0	
4600	0	0	0	0	0	
4800	0	0	0	0	0	
5000	0	0	0	0	0	
5200	0	0	0	0	0	
5400	0	0	0	0	0	
5600	0	0	0	0	0	
5800	0	0	0	0	0	
6000	0	0	0	0	0	
6200	0	0	0	0	0	
6400	0	0	0	0	0	
6600	0	0	0	0	0	
6800	0	0	0	0	0	
7000	0	0	0	0	0	
7200	0	0	0	0	0	
7400	0	0	0	0	0	
7600	0	0	0	0	0	
7800	0	0	0	0	0	
8000	0	0	0	0	0	
8200	0	0	0	0	0	
8400	0	0	0	0	0	
8600	0	0	0	0	0	
8800	0	0	0	0	0	
9000	0	0	0	0	0	
9200	0	0	0	0	0	
9400	0	0	0	0	0	
9600	0	0	0	0	0	
9800	0	0	0	0	0	
10000	0	0	0	0	0	
10200	0	0	0	0	0	
10400	0	0	0	0	0	
10600	0	0	0	0	0	
10800	0	0	0	0	0	
11000	0	0	0	0	0	
11200	0	0	0	0	0	
11400	0	0	0	0	0	
11600	0	0	0	0	0	
11800	0	0	0	0	0	
12000	0	0	0	0	0	
12200	0	0	0	0	0	
12400	0	0	0	0	0	
12600	0	0	0	0	0	
12800	0	0	0	0	0	
13000	0	0	0	0	0	
13200	0	0	0	0	0	
13400	0	0	0	0	0	
13600	0	0	0	0	0	
13800	0	0	0	0	0	
14000	0	0	0	0	0	
14200	0	0	0	0	0	
14400	0	0	0	0	0	
14600	0	0	0	0	0	
14800	0	0	0	0	0	
15000	0	0	0	0	0	
15200	0	0	0	0	0	
15400	0	0	0	0	0	
15600	0	0	0	0	0	
15800	0	0	0	0	0	
16000	0	0	0	0	0	
16200	0	0	0	0	0	
16400	0	0	0	0	0	
16600	0	0	0	0	0	
16800	0	0	0	0	0	
17000	0	0	0	0	0	
17200	0	0	0	0	0	
17400	0	0	0	0	0	
17600	0	0	0	0	0	
17800	0	0	0	0	0	
18000	0	0	0	0	0	
18200	0	0	0	0	0	
18400	0	0	0	0	0	
18600	0	0	0	0	0	
18800	0	0	0	0	0	
19000	0	0	0	0	0	
19200	0	0	0	0	0	
19400	0	0	0	0	0	
19600	0	0	0	0	0	
19800	0	0	0	0	0	
20000	0	0	0	0	0	
20200	0	0	0	0	0	
20400	0	0	0	0	0	
20600	0	0	0	0	0	
20800	0	0	0	0	0	
21000	0	0	0	0	0	
21200	0	0	0	0	0	
21400	0	0	0	0	0	
21600	0	0	0	0	0	
21800	0	0	0	0	0	
22000	0	0	0	0	0	
22200	0	0	0	0	0	
22400	0	0	0	0	0	
22600	0	0	0	0	0	
22800	0	0	0	0	0	
23000	0	0	0	0	0	
23200	3	1	1	2	1	
23400	6	4	3	7	3	
23600	17	14	18	15	10	
23800	46	55	45	56	43	
24000	128	106	104	124	98	
24200	225	209	224	249	220	
24400	414	377	410	364	392	
24600	573	625	563	565	575	
24800	695	739	736	725	746	
25000	792	773	795	769	832	
25200	726	689	710	730	723	
25400	587	618	575	604	592	
25600	361	397	401	386	372	
25800	240	219	253	207	208	
26000	134	104	108	121	119	
26200	33	44	34	46	44	
26400	13	20	14	17	14	
26600	5	4	3	8	3	
26800	1	1	2	4	4	
